date,week,month,year,season,is_holiday,promo_event,promo_flag_calendar
2010-04-08,14,4,2010,Spring,0,,0
2010-04-09,14,4,2010,Spring,0,,0
2010-04-10,14,4,2010,Spring,0,,0
2010-04-11,14,4,2010,Spring,0,,0
2010-04-12,15,4,2010,Spring,0,,0
2010-04-13,15,4,2010,Spring,0,,0
2010-04-14,15,4,2010,Spring,0,,0
2010-04-15,15,4,2010,Spring,0,,0
2010-04-16,15,4,2010,Spring,0,,0
2010-04-17,15,4,2010,Spring,0,,0
2010-04-18,15,4,2010,Spring,0,,0
2010-04-19,16,4,2010,Spring,0,,0
2010-04-20,16,4,2010,Spring,0,,0
2010-04-21,16,4,2010,Spring,0,,0
2010-04-22,16,4,2010,Spring,0,,0
2010-04-23,16,4,2010,Spring,0,,0
2010-04-24,16,4,2010,Spring,0,,0
2010-04-25,16,4,2010,Spring,0,,0
2010-04-26,17,4,2010,Spring,0,,0
2010-04-27,17,4,2010,Spring,0,,0
2010-04-28,17,4,2010,Spring,0,,0
2010-04-29,17,4,2010,Spring,0,,0
2010-04-30,17,4,2010,Spring,0,,0
2010-05-01,17,5,2010,Spring,0,,0
2010-05-02,17,5,2010,Spring,0,,0
2010-05-03,18,5,2010,Spring,1,,0
2010-05-04,18,5,2010,Spring,0,,0
2010-05-05,18,5,2010,Spring,0,,0
2010-05-06,18,5,2010,Spring,0,,0
2010-05-07,18,5,2010,Spring,0,,0
2010-05-08,18,5,2010,Spring,0,,0
2010-05-09,18,5,2010,Spring,0,,0
2010-05-10,19,5,2010,Spring,0,,0
2010-05-11,19,5,2010,Spring,0,,0
2010-05-12,19,5,2010,Spring,0,,0
2010-05-13,19,5,2010,Spring,0,,0
2010-05-14,19,5,2010,Spring,0,,0
2010-05-15,19,5,2010,Spring,0,,0
2010-05-16,19,5,2010,Spring,0,,0
2010-05-17,20,5,2010,Spring,0,,0
2010-05-18,20,5,2010,Spring,0,,0
2010-05-19,20,5,2010,Spring,0,,0
2010-05-20,20,5,2010,Spring,0,,0
2010-05-21,20,5,2010,Spring,0,,0
2010-05-22,20,5,2010,Spring,0,,0
2010-05-23,20,5,2010,Spring,0,,0
2010-05-24,21,5,2010,Spring,0,,0
2010-05-25,21,5,2010,Spring,0,,0
2010-05-26,21,5,2010,Spring,0,,0
2010-05-27,21,5,2010,Spring,0,,0
2010-05-28,21,5,2010,Spring,0,,0
2010-05-29,21,5,2010,Spring,0,,0
2010-05-30,21,5,2010,Spring,0,,0
2010-05-31,22,5,2010,Spring,1,,0
2010-06-01,22,6,2010,Summer,0,,0
2010-06-02,22,6,2010,Summer,0,,0
2010-06-03,22,6,2010,Summer,0,,0
2010-06-04,22,6,2010,Summer,0,,0
2010-06-05,22,6,2010,Summer,0,,0
2010-06-06,22,6,2010,Summer,0,,0
2010-06-07,23,6,2010,Summer,0,,0
2010-06-08,23,6,2010,Summer,0,,0
2010-06-09,23,6,2010,Summer,0,,0
2010-06-10,23,6,2010,Summer,0,,0
2010-06-11,23,6,2010,Summer,0,,0
2010-06-12,23,6,2010,Summer,0,,0
2010-06-13,23,6,2010,Summer,0,,0
2010-06-14,24,6,2010,Summer,0,,0
2010-06-15,24,6,2010,Summer,0,,0
2010-06-16,24,6,2010,Summer,0,,0
2010-06-17,24,6,2010,Summer,0,,0
2010-06-18,24,6,2010,Summer,0,,0
2010-06-19,24,6,2010,Summer,0,,0
2010-06-20,24,6,2010,Summer,0,,0
2010-06-21,25,6,2010,Summer,0,,0
2010-06-22,25,6,2010,Summer,0,,0
2010-06-23,25,6,2010,Summer,0,,0
2010-06-24,25,6,2010,Summer,0,,0
2010-06-25,25,6,2010,Summer,0,,0
2010-06-26,25,6,2010,Summer,0,,0
2010-06-27,25,6,2010,Summer,0,,0
2010-06-28,26,6,2010,Summer,0,,0
2010-06-29,26,6,2010,Summer,0,,0
2010-06-30,26,6,2010,Summer,0,,0
2010-07-01,26,7,2010,Summer,0,Summer Sale,1
2010-07-02,26,7,2010,Summer,0,Summer Sale,1
2010-07-03,26,7,2010,Summer,0,Summer Sale,1
2010-07-04,26,7,2010,Summer,0,Summer Sale,1
2010-07-05,27,7,2010,Summer,0,Summer Sale,1
2010-07-06,27,7,2010,Summer,0,Summer Sale,1
2010-07-07,27,7,2010,Summer,0,Summer Sale,1
2010-07-08,27,7,2010,Summer,0,Summer Sale,1
2010-07-09,27,7,2010,Summer,0,Summer Sale,1
2010-07-10,27,7,2010,Summer,0,Summer Sale,1
2010-07-11,27,7,2010,Summer,0,Summer Sale,1
2010-07-12,28,7,2010,Summer,0,Summer Sale,1
2010-07-13,28,7,2010,Summer,0,Summer Sale,1
2010-07-14,28,7,2010,Summer,0,Summer Sale,1
2010-07-15,28,7,2010,Summer,0,Summer Sale,1
2010-07-16,28,7,2010,Summer,0,Summer Sale,1
2010-07-17,28,7,2010,Summer,0,Summer Sale,1
2010-07-18,28,7,2010,Summer,0,Summer Sale,1
2010-07-19,29,7,2010,Summer,0,Summer Sale,1
2010-07-20,29,7,2010,Summer,0,Summer Sale,1
2010-07-21,29,7,2010,Summer,0,Summer Sale,1
2010-07-22,29,7,2010,Summer,0,Summer Sale,1
2010-07-23,29,7,2010,Summer,0,Summer Sale,1
2010-07-24,29,7,2010,Summer,0,Summer Sale,1
2010-07-25,29,7,2010,Summer,0,Summer Sale,1
2010-07-26,30,7,2010,Summer,0,Summer Sale,1
2010-07-27,30,7,2010,Summer,0,Summer Sale,1
2010-07-28,30,7,2010,Summer,0,Summer Sale,1
2010-07-29,30,7,2010,Summer,0,Summer Sale,1
2010-07-30,30,7,2010,Summer,0,Summer Sale,1
2010-07-31,30,7,2010,Summer,0,Summer Sale,1
2010-08-01,30,8,2010,Summer,0,,0
2010-08-02,31,8,2010,Summer,0,,0
2010-08-03,31,8,2010,Summer,0,,0
2010-08-04,31,8,2010,Summer,0,,0
2010-08-05,31,8,2010,Summer,0,,0
2010-08-06,31,8,2010,Summer,0,,0
2010-08-07,31,8,2010,Summer,0,,0
2010-08-08,31,8,2010,Summer,0,,0
2010-08-09,32,8,2010,Summer,0,,0
2010-08-10,32,8,2010,Summer,0,,0
2010-08-11,32,8,2010,Summer,0,,0
2010-08-12,32,8,2010,Summer,0,,0
2010-08-13,32,8,2010,Summer,0,,0
2010-08-14,32,8,2010,Summer,0,,0
2010-08-15,32,8,2010,Summer,0,,0
2010-08-16,33,8,2010,Summer,0,,0
2010-08-17,33,8,2010,Summer,0,,0
2010-08-18,33,8,2010,Summer,0,,0
2010-08-19,33,8,2010,Summer,0,,0
2010-08-20,33,8,2010,Summer,0,,0
2010-08-21,33,8,2010,Summer,0,,0
2010-08-22,33,8,2010,Summer,0,,0
2010-08-23,34,8,2010,Summer,0,,0
2010-08-24,34,8,2010,Summer,0,,0
2010-08-25,34,8,2010,Summer,0,,0
2010-08-26,34,8,2010,Summer,0,,0
2010-08-27,34,8,2010,Summer,0,,0
2010-08-28,34,8,2010,Summer,0,,0
2010-08-29,34,8,2010,Summer,0,,0
2010-08-30,35,8,2010,Summer,0,,0
2010-08-31,35,8,2010,Summer,0,,0
2010-09-01,35,9,2010,Autumn,0,,0
2010-09-02,35,9,2010,Autumn,0,,0
2010-09-03,35,9,2010,Autumn,0,,0
2010-09-04,35,9,2010,Autumn,0,,0
2010-09-05,35,9,2010,Autumn,0,,0
2010-09-06,36,9,2010,Autumn,0,,0
